,Latitude,Longitude
19464,37.69,-120.97
13265,34.1,-117.65
5829,34.19,-118.3
5111,33.96,-118.31
19761,40.11,-122.17
19608,37.48,-121.12
5678,33.72,-118.3
11922,33.96,-117.38
16070,37.75,-122.49
6446,34.11,-118.04
8110,33.79,-118.2
16905,37.58,-122.35
17434,34.63,-120.46
13126,38.28,-121.33
12853,38.68,-121.38
5410,34.02,-118.44
5197,33.94,-118.27
13823,34.5,-117.2
9958,38.39,-122.33
6374,34.17,-118.02
12890,38.64,-121.37
17642,37.25,-121.9
16541,37.79,-121.23
1199,39.37,-121.7
19940,36.28,-119.29
16167,37.78,-122.51
14707,32.8,-117.05
10817,33.63,-117.95
7656,33.82,-118.26
15893,37.73,-122.39
15536,33.13,-117.13
2939,35.36,-118.95
18485,37.0,-121.57
511,37.82,-122.22
16631,35.32,-120.84
9837,36.61,-121.9
1052,38.31,-120.8
5917,34.28,-118.44
12088,33.86,-117.26
11396,33.73,-117.97
17566,37.32,-121.91
108,37.82,-122.24
10526,33.57,-117.7
4864,34.04,-118.28
4125,34.14,-118.2
20252,34.22,-119.19
3204,36.35,-119.63
3913,34.2,-118.55
15747,37.78,-122.44
7854,33.89,-118.16
9027,34.02,-118.88
12254,33.77,-116.99
10,37.85,-122.26
9180,34.36,-118.52
4025,34.17,-118.53
10532,33.57,-117.71
15067,32.79,-116.96
6049,34.04,-117.74
17663,37.26,-121.89
12833,38.69,-121.41
16338,38.05,-121.34
8244,33.78,-118.18
17486,34.44,-119.81
7717,33.94,-118.13
16316,38.0,-121.32
13171,36.79,-121.32
15600,32.85,-116.75
7211,34.03,-118.17
9220,37.12,-120.27
12665,38.49,-121.44
7386,33.96,-118.24
20174,34.31,-119.17
1148,39.52,-121.36
16356,38.02,-121.32
2491,36.65,-120.25
5935,34.15,-117.87
10883,33.71,-117.89
16991,37.55,-122.28
8811,33.76,-118.31
12343,33.85,-116.52
10174,33.87,-117.97
5134,33.97,-118.26
19546,37.63,-121.0
18405,37.25,-121.86
5507,33.99,-118.43
20029,36.08,-119.03
8964,33.99,-118.39
5843,34.19,-118.32
10371,33.65,-117.65
15950,37.72,-122.44
8934,34.0,-118.48
4366,34.1,-118.27
5582,33.82,-118.3
5722,34.18,-118.23
4106,34.13,-118.36
5199,33.93,-118.28
1765,37.95,-122.33
9164,34.42,-118.47
13941,34.3,-117.18
13229,34.15,-117.66
9218,37.12,-120.27
15374,33.39,-117.25
19016,38.34,-121.97
1104,39.86,-121.59
2535,39.47,-122.1
19302,38.39,-122.82
11707,39.15,-120.06
2052,36.72,-119.73
9277,38.12,-122.58
789,37.63,-122.1
1316,38.0,-121.8
5698,34.24,-118.26
20266,34.21,-119.18
5587,33.8,-118.31
13462,34.13,-117.38
3784,34.16,-118.38
19679,39.15,-121.63
16470,38.12,-121.26
16464,38.11,-121.27
7413,33.96,-118.23
10731,33.59,-117.87
11613,33.8,-118.06
17687,37.29,-121.84
2411,36.61,-119.46
2629,40.73,-124.19
11201,33.83,-117.92
14674,32.81,-117.11
5290,34.05,-118.49
11967,34.0,-117.4
9836,36.63,-121.89
19842,36.42,-119.1
16698,35.1,-120.66
14214,32.68,-117.06
6404,34.14,-118.03
4854,34.03,-118.31
14555,32.96,-117.13
16165,37.77,-122.5
9387,37.88,-122.5
6220,34.05,-117.91
3850,34.18,-118.46
5286,34.05,-118.46
1470,37.95,-121.98
11665,33.85,-118.03
7183,34.05,-118.19
8783,33.79,-118.31
9776,36.34,-121.24
3801,34.15,-118.35
87,37.81,-122.27
4650,34.05,-118.32
10728,33.6,-117.88
16140,37.78,-122.46
9379,37.93,-122.48
2308,36.83,-119.75
18856,41.23,-122.27
20404,34.21,-118.87
7304,33.99,-118.19
17797,37.38,-121.82
8826,34.09,-118.36
9728,36.85,-121.65
14002,34.57,-117.1
13942,34.28,-117.17
1477,37.97,-122.04
13259,34.1,-117.68
